full_name,first_initial_last,first_name,last_name,team_abbr,common_nicknames,player_id
Luguentz Dort,L. Dort,Luguentz,Dort,HOU,,P0145
Ayo Dosunmu,A. Dosunmu,Ayo,Dosunmu,FA,,P0146
Jeff Dowtin,J. Dowtin,Jeff,Dowtin,FA,,P0147
PJ Dozier,P. Dozier,PJ,Dozier,POR,,P0148
Andre Drummond,A. Drummond,Andre,Drummond,ORL,,P0149
Chris Duarte,C. Duarte,Chris,Duarte,FA,,P0150
Alex Ducas,A. Ducas,Alex,Ducas,FA,,P0151
Ryan Dunn,R. Dunn,Ryan,Dunn,CHI,,P0152
Kris Dunn,K. Dunn,Kris,Dunn,NYK,,P0153
Kevin Durant,K. Durant,Kevin,Durant,BOS,,P0154
Jalen Duren,J. Duren,Jalen,Duren,MIA,,P0155
Egor Dëmin,E. Dëmin,Egor,Dëmin,ORL,,P0156
Tari Eason,T. Eason,Tari,Eason,GSW,,P0157
Zach Edey,Z. Edey,Zach,Edey,DAL,,P0158
VJ Edgecombe,V. Edgecombe,VJ,Edgecombe,NOP,,P0159
Kessler Edwards,K. Edwards,Kessler,Edwards,CHI,,P0160
Anthony Edwards,A. Edwards,Anthony,Edwards,CLE,,P0161
Justin Edwards,J. Edwards,Justin,Edwards,PHI,,P0162
Jesse Edwards,J. Edwards,Jesse,Edwards,FA,,P0163
Keon Ellis,K. Ellis,Keon,Ellis,DET,,P0164
Joel Embiid,J. Embiid,Joel,Embiid,WAS,,P0165
Noa Essengue,N. Essengue,Noa,Essengue,NOP,,P0166
Tyson Etienne,T. Etienne,Tyson,Etienne,FA,,P0167
Drew Eubanks,D. Eubanks,Drew,Eubanks,MIN,,P0168
Tosan Evbuomwan,T. Evbuomwan,Tosan,Evbuomwan,FA,,P0169
Danté Exum,D. Exum,Danté,Exum,HOU,,P0170
Jeremiah Fears,J. Fears,Jeremiah,Fears,CHA,,P0171
Bruno Fernando,B. Fernando,Bruno,Fernando,WAS,,P0172
Kyle Filipowski,K. Filipowski,Kyle,Filipowski,BKN,,P0173
Dorian Finney-Smith,D. Finney-Smith,Dorian,Finney-Smith,DET,,P0174
Cooper Flagg,C. Flagg,Cooper,Flagg,MIA,,P0175
Adam Flagler,A. Flagler,Adam,Flagler,FA,,P0176
Rasheer Fleming,R. Fleming,Rasheer,Fleming,ATL,,P0177
Trentyn Flowers,T. Flowers,Trentyn,Flowers,FA,,P0178
Malachi Flynn,M. Flynn,Malachi,Flynn,FA,,P0179
Simone Fontecchio,S. Fontecchio,Simone,Fontecchio,CHI,,P0180
De’Aaron Fox,D. Fox,De’Aaron,Fox,SAC,,P0181
Enrique Freeman,E. Freeman,Enrique,Freeman,FA,,P0182
Markelle Fultz,M. Fultz,Markelle,Fultz,IND,,P0183
Johnny Furphy,J. Furphy,Johnny,Furphy,UTA,,P0184
Daniel Gafford,D. Gafford,Daniel,Gafford,PHI,,P0185
David Jones Garcia,D. Jones Garcia,David,Jones Garcia,FA,,P0186
Myron Gardner,M. Gardner,Myron,Gardner,FA,,P0187
Darius Garland,D. Garland,Darius,Garland,PHI,,P0188
Marcus Garrett,M. Garrett,Marcus,Garrett,FA,,P0189
Luka Garza,L. Garza,Luka,Garza,FA,,P0190
Kyshawn George,K. George,Kyshawn,George,BOS,,P0191
Paul George,P. George,Paul,George,NOP,,P0192
Keyonte George,K. George,Keyonte,George,IND,,P0193
Taj Gibson,T. Gibson,Taj,Gibson,GSW,,P0194
Josh Giddey,J. Giddey,Josh,Giddey,WAS,,P0195
Shai Gilgeous-Alexander,S. Gilgeous-Alexander,Shai,Gilgeous-Alexander,HOU,,P0196
Anthony Gill,A. Gill,Anthony,Gill,FA,,P0197
Collin Gillespie,C. Gillespie,Collin,Gillespie,CHA,,P0198
Rudy Gobert,R. Gobert,Rudy,Gobert,CHA,,P0199
Vladislav Goldin,V. Goldin,Vladislav,Goldin,FA,,P0200
Hugo González,H. González,Hugo,González,BKN,,P0201
Jordan Goodwin,J. Goodwin,Jordan,Goodwin,FA,,P0202
Aaron Gordon,A. Gordon,Aaron,Gordon,SAS,,P0203
Eric Gordon,E. Gordon,Eric,Gordon,FA,,P0204
Jazian Gortman,J. Gortman,Jazian,Gortman,FA,,P0205
Jerami Grant,J. Grant,Jerami,Grant,UTA,,P0206
Josh Green,J. Green,Josh,Green,TOR,,P0207
Jalen Green,J. Green,Jalen,Green,MEM,,P0208
Draymond Green,D. Green,Draymond,Green,WAS,,P0209
AJ Green,A. Green,AJ,Green,FA,,P0210
Jeff Green,J. Green,Jeff,Green,FA,,P0211
Quentin Grimes,Q. Grimes,Quentin,Grimes,HOU,,P0212
Mouhamed Gueye,M. Gueye,Mouhamed,Gueye,FA,,P0213
Rui Hachimura,R. Hachimura,Rui,Hachimura,MIN,,P0214
Tyrese Haliburton,T. Haliburton,Tyrese,Haliburton,MIA,,P0215
PJ Hall,P. Hall,PJ,Hall,FA,,P0216
Yang Hansen,Y. Hansen,Yang,Hansen,NOP,,P0217
James Harden,J. Harden,James,Harden,POR,,P0218
Jaden Hardy,J. Hardy,Jaden,Hardy,FA,,P0219
EJ Harkless,E. Harkless,EJ,Harkless,FA,,P0220
Dylan Harper,D. Harper,Dylan,Harper,NOP,,P0221
Gary Harris,G. Harris,Gary,Harris,UTA,,P0222
Tobias Harris,T. Harris,Tobias,Harris,POR,,P0223
Kevon Harris,K. Harris,Kevon,Harris,FA,,P0224
Josh Hart,J. Hart,Josh,Hart,MIA,,P0225
Isaiah Hartenstein,I. Hartenstein,Isaiah,Hartenstein,PHX,,P0226
Sam Hauser,S. Hauser,Sam,Hauser,FA,,P0227
Jordan Hawkins,J. Hawkins,Jordan,Hawkins,FA,,P0228
Jaxson Hayes,J. Hayes,Jaxson,Hayes,BOS,,P0229
Killian Hayes,K. Hayes,Killian,Hayes,FA,,P0230
Nigel Hayes-Davis,N. Hayes-Davis,Nigel,Hayes-Davis,FA,,P0231
Scoot Henderson,S. Henderson,Scoot,Henderson,MIA,,P0232
Taylor Hendricks,T. Hendricks,Taylor,Hendricks,SAC,,P0233
Chucky Hepburn,C. Hepburn,Chucky,Hepburn,FA,,P0234
Tyler Herro,T. Herro,Tyler,Herro,MIL,,P0235
Buddy Hield,B. Hield,Buddy,Hield,MEM,,P0236
Haywood Highsmith,H. Highsmith,Haywood,Highsmith,CHA,,P0237
Jrue Holiday,J. Holiday,Jrue,Holiday,DAL,,P0238
Aaron Holiday,A. Holiday,Aaron,Holiday,FA,,P0239
Ron Holland,R. Holland,Ron,Holland,SAS,,P0240
Richaun Holmes,R. Holmes,Richaun,Holmes,DEN,,P0241
Chet Holmgren,C. Holmgren,Chet,Holmgren,GSW,,P0242
Jalen Hood-Schifino,J. Hood-Schifino,Jalen,Hood-Schifino,FA,,P0243
Al Horford,A. Horford,Al,Horford,CHI,,P0244
Caleb Houstan,C. Houstan,Caleb,Houstan,FA,,P0245
Jett Howard,J. Howard,Jett,Howard,IND,,P0246
Kevin Huerter,K. Huerter,Kevin,Huerter,MIN,,P0247
Jay Huff,J. Huff,Jay,Huff,FA,,P0248
De'Andre Hunter,D. Hunter,De'Andre,Hunter,ORL,,P0249
CJ Huntley,C. Huntley,CJ,Huntley,FA,,P0250
Bones Hyland,B. Hyland,Bones,Hyland,FA,,P0251
Gary Payton II,G. Payton II,Gary,Payton II,BOS,,P0252
DaRon Holmes II,D. Holmes II,DaRon,Holmes II,CHA,,P0253
Dereck Lively II,D. Lively II,Dereck,Lively II,PHI,,P0254
Kevin Knox II,K. Knox II,Kevin,Knox II,MIN,,P0255
Robert Williams III,R. Williams III,Robert,Williams III,BKN,,P0256
Marvin Bagley III,M. Bagley III,Marvin,Bagley III,DAL,,P0257
Trey Murphy III,T. Murphy III,Trey,Murphy III,MEM,,P0258
