id,name,nba_player_id,overall,photo_url,player_page_url
"P0238","Tre Johnson","1642848","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642848.png","https://www.nba.com/player/1642848"
"P0239","Nikola Jokić","203999","98","https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png","https://www.nba.com/player/203999"
"P0240","Colby Jones","1641732","","https://cdn.nba.com/headshots/nba/latest/1040x760/1641732.png","https://www.nba.com/player/1641732"
"P0241","Curtis Jones","1642938","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642938.png","https://www.nba.com/player/1642938"
"P0242","Herbert Jones","1630529","","https://cdn.nba.com/headshots/nba/latest/1040x760/1630529.png","https://www.nba.com/player/1630529"
"P0243","Isaac Jones","1642403","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1642403.png","https://www.nba.com/player/1642403"
"P0244","Kam Jones","1642880","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642880.png","https://www.nba.com/player/1642880"
"P0245","Spencer Jones","1642461","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642461.png","https://www.nba.com/player/1642461"
"P0246","Tre Jones","1630200","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1630200.png","https://www.nba.com/player/1630200"
"P0247","Tyus Jones","1626145","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1626145.png","https://www.nba.com/player/1626145"
"P0248","David Jones Garcia","1642357","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642357.png","https://www.nba.com/player/1642357"
"P0249","Derrick Jones Jr.","1627884","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1627884.png","https://www.nba.com/player/1627884"
"P0250","DeAndre Jordan","201599","","https://cdn.nba.com/headshots/nba/latest/1040x760/201599.png","https://www.nba.com/player/201599"
"P0251","Nikola Jović","1631107","75","https://cdn.nba.com/headshots/nba/latest/1040x760/1631107.png","https://www.nba.com/player/1631107"
"P0252","Johnny Juzang","1630548","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1630548.png","https://www.nba.com/player/1630548"
"P0253","Ryan Kalkbrenner","1641750","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1641750.png","https://www.nba.com/player/1641750"
"P0254","Miles Kelly","1642939","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642939.png","https://www.nba.com/player/1642939"
"P0255","Luke Kennard","1628379","75","https://cdn.nba.com/headshots/nba/latest/1040x760/1628379.png","https://www.nba.com/player/1628379"
"P0256","Walker Kessler","1631117","82","https://cdn.nba.com/headshots/nba/latest/1040x760/1631117.png","https://www.nba.com/player/1631117"
"P0257","Corey Kispert","1630557","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1630557.png","https://www.nba.com/player/1630557"
"P0258","Maxi Kleber","1628467","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1628467.png","https://www.nba.com/player/1628467"
"P0259","Bobi Klintman","1641752","","https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png","https://www.nba.com/player/1641752"
"P0260","Dalton Knecht","1642261","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1642261.png","https://www.nba.com/player/1642261"
"P0261","Kon Knueppel","1642851","75","https://cdn.nba.com/headshots/nba/latest/1040x760/1642851.png","https://www.nba.com/player/1642851"
